Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
359725,2,,359717,2008-12-11T15:32:59.553,,4,,"<p><a href=""http://learn.iis.net/"" rel=""nofollow noreferrer"">http://learn.iis.net/</a></p>
",17516,AnthonyWJones,,,,2008-12-11T15:32:59.553,,,,0,,,,CC BY-SA 2.5
359734,2,,359717,2008-12-11T15:34:37.553,,0,,"<p>The one I've found really helpful is <a href=""http://www.iis.net/"" rel=""nofollow noreferrer"">the official IIS site by Microsoft</a>. Lots of helpful articles, downloads and advice from knowledgable guys in the forums.</p>

<p>Were you after some specific advice/information?</p>

<p>Try it out...</p>

<p>Andy</p>
",,Andy Davies,20363,OregonGhost,2008-12-11T16:03:36.123,2008-12-11T16:03:36.123,,,,0,,,,CC BY-SA 2.5
544115,2,,544097,2009-02-12T23:54:49.217,,0,,"<p>Maybe I'm missing something but what's wrong with simply using <code>glLight()</code> and the fixed functionality like everybody else?</p>
",9611,Shy,,,,2009-02-12T23:54:49.217,,,,2,,,,CC BY-SA 2.5
544146,2,,544097,2009-02-13T00:03:32.393,,0,,"<p>Would have to be a very bright light to make it look like lightning and wouldn't you need to shine the light on or through something?</p>
",65823,Chapel,,,,2009-02-13T00:03:32.393,,,,0,,,,CC BY-SA 2.5
544181,2,,544097,2009-02-13T00:16:34.500,,2,,"<p>You could maybe adapt the code from <a href=""http://www.nitrogen.za.org/projectinfo.asp?id=14"" rel=""nofollow noreferrer"">this project</a>. Although it's not ObjC/C, it does use OpenGL.</p>

<p><a href=""http://www.gamedev.net/reference/articles/article1512.asp"" rel=""nofollow noreferrer"">Here</a> is an article that describes the effect in more detail and provides a VB/DirectX implementation.</p>
",43427,codelogic,43427,codelogic,2009-02-13T00:50:01.987,2009-02-13T00:50:01.987,,,,1,,,,CC BY-SA 2.5
544243,2,,544097,2009-02-13T00:41:44.720,,4,,"<p>Try using a triangle strip textured with a gradient from black to a low-saturation blue or purple, to white. Set your blending to additive (GL_SRC_ALPHA, GL_ONE).</p>
",20122,geofftnz,,,,2009-02-13T00:41:44.720,,,,0,,,,CC BY-SA 2.5
598997,2,,326366,2009-03-01T00:39:41.493,,1,,"<p>I also tried building a simple web application with Zoho Creator and got so frustrated that I am now looking for a different solution. I consider Zoho Creator to be at a point right now suitable for educational purposes but I would not consider using it for a functional application.</p>
",,Darrin Katz,,,,2009-03-01T00:39:41.493,,,,0,,,,CC BY-SA 2.5
981468,2,,980932,2009-06-11T14:33:47.367,,1,,"<p>Got it.  For some reason The data I was sending in my POST needed to have a .strip() placed after it.</p>
",119400,,,,,2009-06-11T14:33:47.367,,,,0,,,,CC BY-SA 2.5
1216960,2,,326366,2009-08-01T16:34:48.310,,0,,"<p>I think this systems not bad,but they are paid. Their price impresses!
Use free application, example <a href=""http://mytaskhelper.com"" rel=""nofollow noreferrer"">mytaskhelper</a>
Thanks</p>
",,Tom,,,,2009-08-01T16:34:48.310,,,,0,,,,CC BY-SA 2.5
1237753,2,,1236439,2009-08-06T09:01:43.890,,2,,"<p>You may have a List Records widget with several If widgets inside to display the appropriate ""controls"". I believe this is one way to have dynamic controls. I don't know if this applies to your specific problem.</p>
",,António Melo,,,,2009-08-06T09:01:43.890,,,,0,,,,CC BY-SA 2.5
