Id,Title,Body,AcceptedAnswer,SDLC
326366,Experiences with Zoho Creator?,"<p>I wish to create an online system to track some things (e.g., a database with children, where each child has 1 or more visits from doctors). I want the users to be able to enter data as well as search for it, especially from mobile devices. So, this is a custom mobile online DB app of modest but non-zero size.</p>

<p>I've looked into DabbleDB and Zoho Creator, looking for an easy solution that will have low-cost maintenance.</p>

<p>Although I feel my app is not too complicated, I find that if I want to do something slightly out of their mainstream, I hit walls. For example, dealing with many-to-many relationships, or with 100K records, or doing an involved mathematical calculation for a field.</p>

<p>What are people's experiences with these online DB apps? Should I keep pushing ahead, or just write a custom app myself?</p>
","<p>I also tried building a simple web application with Zoho Creator and got so frustrated that I am now looking for a different solution. I consider Zoho Creator to be at a point right now suitable for educational purposes but I would not consider using it for a functional application.</p>
",1__requirement
359717,What's the best free resource to learn about Ms IIS?,"<p>I usually use IIS in conjunction with the OutSystems development platform, which does code-generation for web applications.</p>

<p>As it does the compiling and deployment of the applications to IIS, I end up knowing very little on how it really works, and sometimes it is very useful.</p>

<p>Thanks</p>
","<p><a href=""http://learn.iis.net/"" rel=""nofollow noreferrer"">http://learn.iis.net/</a></p>
",1__requirement
980932,Python QuickBase API Help,"<p>Hey,  I'm having some trouble using the QuickBase API from Python.  From the QuickBase guide, there are two methods of hitting the API: POST and GET.  I can handle the GET calls, but some API methods require XML to be sent over POST.  The link to the documentation is here: <a href=""http://member.developer.intuit.com/MyIDN/technical_resources/quickbase/framework/httpapiref/HTML_API_Programmers_Guide.htm"" rel=""nofollow noreferrer"">http://member.developer.intuit.com/MyIDN/technical_resources/quickbase/framework/httpapiref/HTML_API_Programmers_Guide.htm</a></p>

<p>I guess I don't quite understand how to pack the XML payload into the POST request from python.  Using the urllib.urlencode method, as well as any other way I've created POST requests requires a key-value type data structure, where all I have here is a string.  Any help would be appreciated.</p>
","<p>Got it.  For some reason The data I was sending in my POST needed to have a .strip() placed after it.</p>
",3__development
1236439,How do generate screen elements dynamically in the OutSystems platform?,"<p>I am using the OutSystems platform and I am having trouble implementing something like a dynamic questionnaire. Admin users should be able to login and add new questions(no limit to number of questions), modify existing questions/answers and delete existing questions. Answer Choices can be of various types like radio buttons, dropdowns, text boxes etc. Normal users should see the updated questionnaire upon next login.</p>

<p>I was thinking of creating something like a template to which we can add dynamic controls at runtime. We can use dynamic page rendering features in .net etc to implement this, but we are looking to see how I can implement this in OutSystems as here we add most of the controls as static controls. The major hurdle is that the number of web blocks that we need to create is not fixed. It may depend on a user selection.</p>

<p>Can anybody help?</p>
","<p>You may have a List Records widget with several If widgets inside to display the appropriate ""controls"". I believe this is one way to have dynamic controls. I don't know if this applies to your specific problem.</p>
",3__development
1258834,Integrating CRM with Google maps,"<p>Just started testing <a href=""http://crm.zoho.com"" rel=""nofollow noreferrer"">Zoho Crm</a> as a CRM solution for our company. Someone asked for a Google map on the page showing our upcoming engagements.<p>I know Zoho provides an API that allows accessing its data from the outside, but I actually need to integrate the map on the data-entry form.<p>If anyone could provide a pointer to any mashup with Zoho CRM (be it Google MAps, Bing Maps, or any similar web service), I would be extremely grateful.</p>
","<p>I know this is an ancient question, but since there's no answers and this is pretty much all that came up on google when searching for Zoho CRM integration with Google Maps I'll take a stab at this anyway. I recently got a similiar request, but in this case they wanted to display the leads on a page outside of Zoho. </p>

<p>I created a Java servlet and JSP that runs on Google App Engine. The servlet will connect to Zoho CRM to retrieve all leads and geocode the addresses they are registered with. The client-side Javascript is then taking care of creating the markers on the map for all the addresses. </p>

<p>It's a bit too much code to paste here (although not that much), but you can check it out at <a href=""http://code.google.com/p/zohomap/"" rel=""nofollow noreferrer"">http://code.google.com/p/zohomap/</a>. </p>

<p>I put the demo up at <a href=""http://zohomap.appspot.com/"" rel=""nofollow noreferrer"">http://zohomap.appspot.com/</a>. </p>
",3__development
2022549,Using Javascript/jQuery to access HTML elements with improper id attribute,"<p>I'm making a Greasemonkey script for someone to change the display of some of the fields their CRM(Zoho) created because they don't have access to change the rendered HTML.</p>

<p>This should be easy, BUT Zoho decided that creating proper HTML was too big a pain in the ass, I guess, and their HTML contains things like this:</p>

<pre><code>&lt;input type=""text"" maxlength=""50"" style=""width: 100%;"" class=""textField"" id=""property(Phone)"" name=""property(Phone)""/&gt;
</code></pre>

<p>The ID's contain spaces and parentheses, which aren't valid in ID attributes, and is preventing me from using either document.getElementById() to select them or from using jQuery to select them.</p>

<p>Does anyone have any ideas for how I could grab that element? Obviously I could grab it via its index in its parent element, or by traversing the DOM, but both of those would mean that if the order of the fields changed, the Greasemonkey script would stop working correctly because it would then be targeting the wrong elements.</p>
","<p>You can escape the spaces and parentheses using backslashes:</p>

<pre><code>$('#property\\(Phone\\)').val('jQuery selected property(Phone)!');
$('#ab\\ cd\\ ef').val('jQuery selected ab cd ef!');
</code></pre>
",3__development
2377082,XCelsius using ZOHO webservice,"<p>I need to make a dashboard application using data from <a href=""http://www.projects.zoho.com"" rel=""nofollow noreferrer"">http://www.projects.zoho.com</a>
It is a project management site.</p>

<p>ZOHO provides data about projects by APIs available at <a href=""http://www.zoho.com/projects/developers/projects-api.html"" rel=""nofollow noreferrer"">http://www.zoho.com/projects/developers/projects-api.html</a> </p>

<p>So can I use XCelsius engage to make my dashboard?
Is it feasible &amp; advisable?</p>

<p>Also tell me if any other tool like XCelsius is more suitable for me....</p>

<p>expecting satisfactory answers....</p>
",,3__development
3016015,Are there any serious pitfalls to Outsystems Agile Platform?,"<p>We are currently looking into the Agile Platform by Outsystems.</p>

<p>We have went through their courses and did all the examples but from experience these types of things only show part of the picture.</p>

<p>Are there any serious pitfalls that we may not be aware of?</p>
","<p><em>DISCLAIMER: I work for OutSystems</em></p>

<p>Every development tool/language/stack/... involves some tradeoffs at some point. Therefore, depending on what you're looking for, or particularly interested in, you may consider some aspect of a platform as an unforgivable pitfall where others might see it as a godsend blessing, or vice-versa. Thus, only by knowing what you really like and what you consider essential, may I try to guess what you'll miss and what you'll consider a pitfall.</p>

<p>Since we usually only notice the lack of something the first time we try to use it, I'd recommend trying to use the platform to hack something at your will without following the tutorials and the courses to the letter. If while creating something different you find anything you dislike, we'll be happy to hear it from you!</p>

<p>TL;DR: If you think the tutorials for a tool aren't showing you something, play with it a bit without following them.</p>
",1__requirement
3700594,"Simple Integration - ZohoCRM, HighriseHQ, PipelineDeals","<p>I've looked at these three CRM systems for some very simple lead management, they have the usual REST get info out, put info in data sync api, some have colour changing stuff but aside from that its seems impossible to integrate.</p>

<p>Take HighRiseHQ or ZohoCRM, all I want to do is add a button to the page that does an ajax post into my company system. If they give just one line, just one measly line in header, I can inject a script src=""myurl/customise-zoho-crm.js"" which manipulate the dom on ready, pull a few bits of info needed, injects a button and does ajax on hit. But no hosted CRM I can see allows this, unless you hit ms crm or salesforce.. </p>

<p>I thought about greasemonkey as only 5 users, but its feel so dirty, but then to get basic contact/lead management is waste of my dev time. Due to sales calcs etc.. it does need to tie (or post into my backend system).. Any ideas? </p>
",,3__development
3906522,APIs for implementing Document Editing and viewing features for a web app?,"<p>I'm looking for APIs to bring online document editing features for a web app - Any suggestions? The criteria of selection depends on the following factors</p>

<ul>
<li>Support for editing for common document formats (doc, docx)</li>
<li>Support for viewing common document and presentation formats (doc, docx, pdf, ppt, pptx)</li>
<li>The API should be easily accessible from ASP.NET environment</li>
<li>We are not looking for data hosting - The data/documents will be kept in the local repository. The API/Related framework should have some functionality to load the documents from a store, provide a UI to the user to edit them, and save them back to the store</li>
<li>The editor/view component should be able to keep track of user annotations on a specific part of document etc</li>
</ul>

<p>One option I'm evaluating is Zoho Remote API - <a href=""http://apihelp.wiki.zoho.com/Zoho-API-Program---Overview.html"" rel=""nofollow noreferrer"">http://apihelp.wiki.zoho.com/Zoho-API-Program---Overview.html</a></p>

<p>What I Would like to know</p>

<ul>
<li>Any similar APIs (Suggestions, links etc)</li>
<li>Any experience you have (issues, problems) with Zoho API in ASP.NET</li>
<li>Normal challenges in integrating document editing/viewing in web apps</li>
</ul>
",,3__development
